2023-3-21 11:48:10, Temperature = 21.24 C, Pressure = 841.68 hPa, Approx. Altitude = 1537.72 m, Humidity = 21.25 %
2023-3-21 12:1:2, Temperature = 21.46 C, Pressure = 841.84 hPa, Approx. Altitude = 1536.15 m, Humidity = 20.97 %
2023-3-21 12:1:32, Temperature = 21.49 C, Pressure = 841.81 hPa, Approx. Altitude = 1536.47 m, Humidity = 21.03 %
2023-3-21 12:2:2, Temperature = 21.51 C, Pressure = 841.81 hPa, Approx. Altitude = 1536.49 m, Humidity = 21.00 %
2023-3-21 12:2:32, Temperature = 21.52 C, Pressure = 841.89 hPa, Approx. Altitude = 1535.73 m, Humidity = 21.03 %
2023-3-21 12:3:2, Temperature = 21.51 C, Pressure = 841.84 hPa, Approx. Altitude = 1536.15 m, Humidity = 21.04 %
2023-3-21 12:3:32, Temperature = 21.52 C, Pressure = 841.89 hPa, Approx. Altitude = 1535.74 m, Humidity = 21.04 %
2023-3-21 12:4:2, Temperature = 21.53 C, Pressure = 841.84 hPa, Approx. Altitude = 1536.19 m, Humidity = 20.92 %
2023-3-21 12:4:32, Temperature = 21.55 C, Pressure = 841.85 hPa, Approx. Altitude = 1536.13 m, Humidity = 20.93 %
2023-3-21 12:5:2, Temperature = 21.54 C, Pressure = 841.86 hPa, Approx. Altitude = 1535.95 m, Humidity = 20.85 %
2023-3-21 12:5:33, Temperature = 21.56 C, Pressure = 841.90 hPa, Approx. Altitude = 1535.62 m, Humidity = 20.90 %
2023-3-21 12:6:3, Temperature = 21.54 C, Pressure = 841.88 hPa, Approx. Altitude = 1535.77 m, Humidity = 20.85 %
2023-3-21 12:6:33, Temperature = 21.53 C, Pressure = 841.85 hPa, Approx. Altitude = 1536.12 m, Humidity = 20.84 %
2023-3-21 12:7:3, Temperature = 21.54 C, Pressure = 841.88 hPa, Approx. Altitude = 1535.79 m, Humidity = 20.86 %
2023-3-21 12:7:33, Temperature = 21.55 C, Pressure = 841.90 hPa, Approx. Altitude = 1535.60 m, Humidity = 20.84 %
2023-3-21 12:8:3, Temperature = 21.56 C, Pressure = 841.87 hPa, Approx. Altitude = 1535.90 m, Humidity = 20.81 %
2023-3-21 12:8:33, Temperature = 21.58 C, Pressure = 841.88 hPa, Approx. Altitude = 1535.84 m, Humidity = 20.78 %
2023-3-21 12:9:3, Temperature = 21.58 C, Pressure = 841.91 hPa, Approx. Altitude = 1535.47 m, Humidity = 20.76 %
2023-3-21 12:9:33, Temperature = 21.59 C, Pressure = 841.90 hPa, Approx. Altitude = 1535.57 m, Humidity = 20.78 %
2023-3-21 12:10:4, Temperature = 21.58 C, Pressure = 841.90 hPa, Approx. Altitude = 1535.56 m, Humidity = 20.75 %
2023-3-21 12:10:34, Temperature = 21.58 C, Pressure = 841.92 hPa, Approx. Altitude = 1535.37 m, Humidity = 20.75 %
2023-3-21 12:11:4, Temperature = 21.59 C, Pressure = 841.92 hPa, Approx. Altitude = 1535.38 m, Humidity = 20.67 %
2023-3-21 12:11:34, Temperature = 21.59 C, Pressure = 841.92 hPa, Approx. Altitude = 1535.40 m, Humidity = 20.69 %
2023-3-21 12:12:4, Temperature = 21.59 C, Pressure = 841.91 hPa, Approx. Altitude = 1535.48 m, Humidity = 20.70 %
2023-3-21 12:12:34, Temperature = 21.60 C, Pressure = 841.91 hPa, Approx. Altitude = 1535.52 m, Humidity = 20.68 %
2023-3-21 12:13:4, Temperature = 21.60 C, Pressure = 841.89 hPa, Approx. Altitude = 1535.68 m, Humidity = 20.67 %
2023-3-21 12:13:34, Temperature = 21.60 C, Pressure = 841.96 hPa, Approx. Altitude = 1535.21 m, Humidity = 20.56 %
2023-3-21 12:14:4, Temperature = 21.62 C, Pressure = 841.96 hPa, Approx. Altitude = 1534.98 m, Humidity = 20.63 %
2023-3-21 12:14:34, Temperature = 21.60 C, Pressure = 841.91 hPa, Approx. Altitude = 1535.49 m, Humidity = 20.55 %
2023-3-21 12:15:5, Temperature = 21.60 C, Pressure = 841.93 hPa, Approx. Altitude = 1535.32 m, Humidity = 20.56 %
2023-3-21 12:15:35, Temperature = 21.59 C, Pressure = 841.93 hPa, Approx. Altitude = 1535.27 m, Humidity = 20.52 %
2023-3-21 12:16:5, Temperature = 21.60 C, Pressure = 841.93 hPa, Approx. Altitude = 1535.36 m, Humidity = 20.49 %
2023-3-21 12:16:35, Temperature = 21.59 C, Pressure = 841.96 hPa, Approx. Altitude = 1535.05 m, Humidity = 20.48 %
2023-3-21 12:17:5, Temperature = 21.57 C, Pressure = 841.96 hPa, Approx. Altitude = 1535.05 m, Humidity = 20.50 %
2023-3-21 12:17:35, Temperature = 21.56 C, Pressure = 841.93 hPa, Approx. Altitude = 1535.30 m, Humidity = 20.51 %
2023-3-21 12:18:5, Temperature = 21.57 C, Pressure = 841.94 hPa, Approx. Altitude = 1535.26 m, Humidity = 20.51 %
2023-3-21 12:18:35, Temperature = 21.57 C, Pressure = 841.92 hPa, Approx. Altitude = 1535.45 m, Humidity = 20.49 %
2023-3-21 12:19:5, Temperature = 21.55 C, Pressure = 841.96 hPa, Approx. Altitude = 1535.06 m, Humidity = 20.51 %
2023-3-21 12:19:36, Temperature = 21.54 C, Pressure = 841.95 hPa, Approx. Altitude = 1535.17 m, Humidity = 20.47 %
2023-3-21 12:20:6, Temperature = 21.54 C, Pressure = 841.93 hPa, Approx. Altitude = 1535.28 m, Humidity = 20.51 %
2023-3-21 12:20:36, Temperature = 21.54 C, Pressure = 841.92 hPa, Approx. Altitude = 1535.37 m, Humidity = 20.50 %
2023-3-21 12:21:6, Temperature = 21.55 C, Pressure = 841.94 hPa, Approx. Altitude = 1535.25 m, Humidity = 20.49 %
2023-3-21 12:21:36, Temperature = 21.55 C, Pressure = 841.95 hPa, Approx. Altitude = 1535.10 m, Humidity = 20.46 %
2023-3-21 12:22:6, Temperature = 21.55 C, Pressure = 841.98 hPa, Approx. Altitude = 1534.81 m, Humidity = 20.41 %
2023-3-21 12:22:36, Temperature = 21.57 C, Pressure = 841.92 hPa, Approx. Altitude = 1535.37 m, Humidity = 20.42 %
2023-3-21 12:23:6, Temperature = 21.55 C, Pressure = 841.93 hPa, Approx. Altitude = 1535.33 m, Humidity = 20.41 %
2023-3-21 12:23:36, Temperature = 21.56 C, Pressure = 841.94 hPa, Approx. Altitude = 1535.20 m, Humidity = 20.43 %
2023-3-21 12:24:7, Temperature = 21.55 C, Pressure = 841.96 hPa, Approx. Altitude = 1535.03 m, Humidity = 20.43 %
2023-3-21 12:24:37, Temperature = 21.55 C, Pressure = 841.95 hPa, Approx. Altitude = 1535.08 m, Humidity = 20.38 %
2023-3-21 12:25:7, Temperature = 21.55 C, Pressure = 841.94 hPa, Approx. Altitude = 1535.22 m, Humidity = 20.37 %
2023-3-21 12:25:37, Temperature = 21.58 C, Pressure = 841.99 hPa, Approx. Altitude = 1534.73 m, Humidity = 20.37 %
2023-3-21 12:26:7, Temperature = 21.55 C, Pressure = 842.00 hPa, Approx. Altitude = 1534.64 m, Humidity = 20.40 %
2023-3-21 12:26:37, Temperature = 21.55 C, Pressure = 841.97 hPa, Approx. Altitude = 1534.95 m, Humidity = 20.38 %
2023-3-21 12:27:7, Temperature = 21.54 C, Pressure = 841.97 hPa, Approx. Altitude = 1534.88 m, Humidity = 20.44 %
2023-3-21 12:27:37, Temperature = 21.55 C, Pressure = 841.98 hPa, Approx. Altitude = 1534.80 m, Humidity = 20.40 %
2023-3-21 12:28:7, Temperature = 21.59 C, Pressure = 842.01 hPa, Approx. Altitude = 1534.54 m, Humidity = 20.35 %
2023-3-21 12:28:37, Temperature = 21.61 C, Pressure = 841.98 hPa, Approx. Altitude = 1534.80 m, Humidity = 20.32 %
2023-3-21 12:29:8, Temperature = 21.62 C, Pressure = 842.01 hPa, Approx. Altitude = 1534.58 m, Humidity = 20.26 %
2023-3-21 12:29:38, Temperature = 21.61 C, Pressure = 842.00 hPa, Approx. Altitude = 1534.64 m, Humidity = 20.31 %
2023-3-21 12:30:8, Temperature = 21.62 C, Pressure = 842.04 hPa, Approx. Altitude = 1534.23 m, Humidity = 20.22 %
2023-3-21 12:30:38, Temperature = 21.62 C, Pressure = 842.02 hPa, Approx. Altitude = 1534.48 m, Humidity = 20.22 %
2023-3-21 12:31:8, Temperature = 21.61 C, Pressure = 842.03 hPa, Approx. Altitude = 1534.37 m, Humidity = 20.24 %
2023-3-21 12:31:38, Temperature = 21.59 C, Pressure = 842.03 hPa, Approx. Altitude = 1534.37 m, Humidity = 20.27 %
2023-3-21 12:32:8, Temperature = 21.61 C, Pressure = 842.02 hPa, Approx. Altitude = 1534.40 m, Humidity = 20.27 %
2023-3-21 12:32:38, Temperature = 21.62 C, Pressure = 842.05 hPa, Approx. Altitude = 1534.16 m, Humidity = 20.25 %
2023-3-21 12:33:8, Temperature = 21.60 C, Pressure = 842.04 hPa, Approx. Altitude = 1534.23 m, Humidity = 20.22 %
2023-3-21 12:33:39, Temperature = 21.60 C, Pressure = 842.07 hPa, Approx. Altitude = 1533.93 m, Humidity = 20.27 %
2023-3-21 12:34:9, Temperature = 21.61 C, Pressure = 842.03 hPa, Approx. Altitude = 1534.32 m, Humidity = 20.22 %
2023-3-21 12:34:39, Temperature = 21.60 C, Pressure = 842.07 hPa, Approx. Altitude = 1533.96 m, Humidity = 20.22 %
2023-3-21 12:35:9, Temperature = 21.59 C, Pressure = 842.04 hPa, Approx. Altitude = 1534.29 m, Humidity = 20.23 %
2023-3-21 12:35:39, Temperature = 21.58 C, Pressure = 842.07 hPa, Approx. Altitude = 1533.94 m, Humidity = 20.30 %
2023-3-21 12:36:9, Temperature = 21.55 C, Pressure = 842.07 hPa, Approx. Altitude = 1533.95 m, Humidity = 20.29 %
2023-3-21 12:36:39, Temperature = 21.58 C, Pressure = 842.07 hPa, Approx. Altitude = 1533.99 m, Humidity = 20.25 %
2023-3-21 12:37:9, Temperature = 21.57 C, Pressure = 842.09 hPa, Approx. Altitude = 1533.75 m, Humidity = 20.28 %
2023-3-21 12:37:39, Temperature = 21.55 C, Pressure = 842.08 hPa, Approx. Altitude = 1533.83 m, Humidity = 20.31 %
2023-3-21 12:38:10, Temperature = 21.52 C, Pressure = 842.05 hPa, Approx. Altitude = 1534.18 m, Humidity = 20.37 %
2023-3-21 12:38:40, Temperature = 21.51 C, Pressure = 842.08 hPa, Approx. Altitude = 1533.86 m, Humidity = 20.41 %
2023-3-21 12:39:10, Temperature = 21.53 C, Pressure = 842.07 hPa, Approx. Altitude = 1533.91 m, Humidity = 20.45 %
2023-3-21 12:39:40, Temperature = 21.54 C, Pressure = 842.11 hPa, Approx. Altitude = 1533.89 m, Humidity = 20.42 %
2023-3-21 12:40:10, Temperature = 21.52 C, Pressure = 842.00 hPa, Approx. Altitude = 1534.67 m, Humidity = 20.48 %
2023-3-21 12:40:40, Temperature = 21.50 C, Pressure = 842.04 hPa, Approx. Altitude = 1534.26 m, Humidity = 20.49 %
2023-3-21 12:41:10, Temperature = 21.52 C, Pressure = 842.05 hPa, Approx. Altitude = 1534.17 m, Humidity = 20.49 %
2023-3-21 12:41:40, Temperature = 21.55 C, Pressure = 842.10 hPa, Approx. Altitude = 1533.68 m, Humidity = 20.47 %
2023-3-21 12:42:10, Temperature = 21.51 C, Pressure = 842.05 hPa, Approx. Altitude = 1534.15 m, Humidity = 20.42 %
2023-3-21 12:42:40, Temperature = 21.52 C, Pressure = 842.07 hPa, Approx. Altitude = 1534.00 m, Humidity = 20.46 %
2023-3-21 12:43:11, Temperature = 21.53 C, Pressure = 842.05 hPa, Approx. Altitude = 1534.13 m, Humidity = 20.45 %
2023-3-21 12:43:41, Temperature = 21.54 C, Pressure = 842.07 hPa, Approx. Altitude = 1533.94 m, Humidity = 20.48 %
2023-3-21 12:44:11, Temperature = 21.52 C, Pressure = 842.13 hPa, Approx. Altitude = 1533.37 m, Humidity = 20.45 %
2023-3-21 12:44:41, Temperature = 21.51 C, Pressure = 842.09 hPa, Approx. Altitude = 1533.81 m, Humidity = 20.50 %
2023-3-21 12:45:11, Temperature = 21.56 C, Pressure = 842.05 hPa, Approx. Altitude = 1534.18 m, Humidity = 20.53 %
2023-3-21 12:45:41, Temperature = 21.58 C, Pressure = 842.09 hPa, Approx. Altitude = 1533.77 m, Humidity = 20.43 %
2023-3-21 12:46:11, Temperature = 21.57 C, Pressure = 842.08 hPa, Approx. Altitude = 1533.88 m, Humidity = 20.49 %
2023-3-21 12:46:41, Temperature = 21.60 C, Pressure = 842.07 hPa, Approx. Altitude = 1533.95 m, Humidity = 20.48 %
2023-3-21 12:47:11, Temperature = 21.60 C, Pressure = 842.11 hPa, Approx. Altitude = 1533.57 m, Humidity = 20.46 %
2023-3-21 12:47:42, Temperature = 21.60 C, Pressure = 842.07 hPa, Approx. Altitude = 1533.91 m, Humidity = 20.46 %
2023-3-21 12:48:12, Temperature = 21.62 C, Pressure = 842.08 hPa, Approx. Altitude = 1533.88 m, Humidity = 20.47 %
2023-3-21 12:48:42, Temperature = 21.65 C, Pressure = 842.08 hPa, Approx. Altitude = 1533.82 m, Humidity = 20.39 %
2023-3-21 12:49:12, Temperature = 21.67 C, Pressure = 842.08 hPa, Approx. Altitude = 1533.90 m, Humidity = 20.48 %
2023-3-21 12:49:42, Temperature = 21.68 C, Pressure = 842.09 hPa, Approx. Altitude = 1533.73 m, Humidity = 20.38 %
2023-3-21 12:50:12, Temperature = 21.68 C, Pressure = 842.06 hPa, Approx. Altitude = 1534.02 m, Humidity = 20.43 %
2023-3-21 12:50:42, Temperature = 21.68 C, Pressure = 842.12 hPa, Approx. Altitude = 1533.49 m, Humidity = 20.31 %
2023-3-21 12:51:12, Temperature = 21.67 C, Pressure = 842.10 hPa, Approx. Altitude = 1533.63 m, Humidity = 20.25 %
2023-3-21 12:51:42, Temperature = 21.68 C, Pressure = 842.11 hPa, Approx. Altitude = 1533.59 m, Humidity = 20.25 %
2023-3-21 12:52:13, Temperature = 21.69 C, Pressure = 842.11 hPa, Approx. Altitude = 1533.58 m, Humidity = 20.20 %
2023-3-21 12:52:43, Temperature = 21.70 C, Pressure = 842.12 hPa, Approx. Altitude = 1533.51 m, Humidity = 20.21 %
2023-3-21 12:53:13, Temperature = 21.71 C, Pressure = 842.09 hPa, Approx. Altitude = 1533.79 m, Humidity = 20.12 %
2023-3-21 12:53:43, Temperature = 21.73 C, Pressure = 842.08 hPa, Approx. Altitude = 1533.82 m, Humidity = 20.16 %
2023-3-21 12:54:13, Temperature = 21.74 C, Pressure = 842.10 hPa, Approx. Altitude = 1533.64 m, Humidity = 20.05 %
2023-3-21 12:54:43, Temperature = 21.73 C, Pressure = 842.08 hPa, Approx. Altitude = 1533.86 m, Humidity = 20.07 %
2023-3-21 12:55:13, Temperature = 21.74 C, Pressure = 842.12 hPa, Approx. Altitude = 1533.45 m, Humidity = 20.02 %
2023-3-21 12:55:43, Temperature = 21.73 C, Pressure = 842.15 hPa, Approx. Altitude = 1533.15 m, Humidity = 19.96 %
2023-3-21 12:56:13, Temperature = 21.73 C, Pressure = 842.12 hPa, Approx. Altitude = 1533.50 m, Humidity = 20.05 %
2023-3-21 12:56:43, Temperature = 21.72 C, Pressure = 842.18 hPa, Approx. Altitude = 1532.93 m, Humidity = 20.02 %
2023-3-21 12:57:14, Temperature = 21.70 C, Pressure = 842.14 hPa, Approx. Altitude = 1533.29 m, Humidity = 20.01 %
2023-3-21 12:57:44, Temperature = 21.70 C, Pressure = 842.14 hPa, Approx. Altitude = 1533.26 m, Humidity = 20.00 %
2023-3-21 12:58:14, Temperature = 21.70 C, Pressure = 842.15 hPa, Approx. Altitude = 1533.15 m, Humidity = 20.05 %
2023-3-21 12:58:44, Temperature = 21.69 C, Pressure = 842.16 hPa, Approx. Altitude = 1533.12 m, Humidity = 19.97 %
2023-3-21 12:59:14, Temperature = 21.72 C, Pressure = 842.13 hPa, Approx. Altitude = 1533.40 m, Humidity = 20.29 %
2023-3-21 12:59:44, Temperature = 21.77 C, Pressure = 842.17 hPa, Approx. Altitude = 1533.03 m, Humidity = 20.20 %
2023-3-21 13:0:14, Temperature = 21.81 C, Pressure = 842.16 hPa, Approx. Altitude = 1533.04 m, Humidity = 20.06 %
2023-3-21 13:0:44, Temperature = 21.76 C, Pressure = 842.16 hPa, Approx. Altitude = 1533.09 m, Humidity = 19.97 %
2023-3-21 13:1:14, Temperature = 21.76 C, Pressure = 842.17 hPa, Approx. Altitude = 1533.02 m, Humidity = 19.91 %
2023-3-21 13:1:45, Temperature = 21.74 C, Pressure = 842.18 hPa, Approx. Altitude = 1532.87 m, Humidity = 19.83 %
2023-3-21 13:2:15, Temperature = 21.74 C, Pressure = 842.19 hPa, Approx. Altitude = 1532.79 m, Humidity = 19.84 %
2023-3-21 13:2:45, Temperature = 21.72 C, Pressure = 842.17 hPa, Approx. Altitude = 1532.97 m, Humidity = 19.78 %
2023-3-21 13:3:15, Temperature = 21.74 C, Pressure = 842.20 hPa, Approx. Altitude = 1532.74 m, Humidity = 19.76 %
2023-3-21 13:3:45, Temperature = 21.74 C, Pressure = 842.16 hPa, Approx. Altitude = 1533.12 m, Humidity = 19.69 %
2023-3-21 13:4:15, Temperature = 21.76 C, Pressure = 842.13 hPa, Approx. Altitude = 1533.34 m, Humidity = 19.63 %
2023-3-21 13:4:45, Temperature = 21.75 C, Pressure = 842.18 hPa, Approx. Altitude = 1532.88 m, Humidity = 19.57 %
2023-3-21 13:5:15, Temperature = 21.76 C, Pressure = 842.12 hPa, Approx. Altitude = 1533.44 m, Humidity = 19.61 %
2023-3-21 13:5:45, Temperature = 21.74 C, Pressure = 842.12 hPa, Approx. Altitude = 1533.44 m, Humidity = 19.59 %
2023-3-21 13:6:15, Temperature = 21.75 C, Pressure = 842.14 hPa, Approx. Altitude = 1533.31 m, Humidity = 19.63 %
2023-3-21 13:6:46, Temperature = 21.77 C, Pressure = 842.15 hPa, Approx. Altitude = 1533.20 m, Humidity = 19.60 %
2023-3-21 13:7:16, Temperature = 21.78 C, Pressure = 842.14 hPa, Approx. Altitude = 1533.27 m, Humidity = 19.53 %
2023-3-21 13:7:46, Temperature = 21.76 C, Pressure = 842.17 hPa, Approx. Altitude = 1532.99 m, Humidity = 19.52 %
2023-3-21 13:8:16, Temperature = 21.75 C, Pressure = 842.16 hPa, Approx. Altitude = 1533.13 m, Humidity = 19.50 %
2023-3-21 13:8:46, Temperature = 21.75 C, Pressure = 842.15 hPa, Approx. Altitude = 1533.15 m, Humidity = 19.50 %
2023-3-21 13:9:16, Temperature = 21.72 C, Pressure = 842.13 hPa, Approx. Altitude = 1533.33 m, Humidity = 19.51 %
2023-3-21 13:9:46, Temperature = 21.71 C, Pressure = 842.13 hPa, Approx. Altitude = 1533.03 m, Humidity = 19.54 %
2023-3-21 13:10:16, Temperature = 21.74 C, Pressure = 842.16 hPa, Approx. Altitude = 1533.09 m, Humidity = 19.50 %
2023-3-21 13:10:46, Temperature = 21.75 C, Pressure = 842.15 hPa, Approx. Altitude = 1533.23 m, Humidity = 19.48 %
2023-3-21 13:11:17, Temperature = 21.74 C, Pressure = 842.13 hPa, Approx. Altitude = 1533.12 m, Humidity = 19.40 %
2023-3-21 13:11:47, Temperature = 21.74 C, Pressure = 842.14 hPa, Approx. Altitude = 1533.32 m, Humidity = 19.39 %
2023-3-21 13:12:17, Temperature = 21.77 C, Pressure = 842.11 hPa, Approx. Altitude = 1533.54 m, Humidity = 19.40 %
2023-3-21 13:12:47, Temperature = 21.79 C, Pressure = 842.13 hPa, Approx. Altitude = 1533.34 m, Humidity = 19.35 %
2023-3-21 13:13:17, Temperature = 21.77 C, Pressure = 842.14 hPa, Approx. Altitude = 1533.27 m, Humidity = 19.39 %
2023-3-21 13:13:47, Temperature = 21.78 C, Pressure = 842.15 hPa, Approx. Altitude = 1533.21 m, Humidity = 19.37 %
2023-3-21 13:14:17, Temperature = 21.76 C, Pressure = 842.12 hPa, Approx. Altitude = 1533.50 m, Humidity = 19.38 %
2023-3-21 13:14:47, Temperature = 21.77 C, Pressure = 842.13 hPa, Approx. Altitude = 1533.33 m, Humidity = 19.38 %
2023-3-21 13:15:17, Temperature = 21.78 C, Pressure = 842.13 hPa, Approx. Altitude = 1533.37 m, Humidity = 19.33 %
2023-3-21 13:15:48, Temperature = 21.80 C, Pressure = 842.11 hPa, Approx. Altitude = 1533.59 m, Humidity = 19.35 %
2023-3-21 13:16:18, Temperature = 21.82 C, Pressure = 842.11 hPa, Approx. Altitude = 1533.55 m, Humidity = 19.33 %
2023-3-21 13:16:48, Temperature = 21.82 C, Pressure = 842.12 hPa, Approx. Altitude = 1533.43 m, Humidity = 19.32 %
2023-3-21 13:17:18, Temperature = 21.82 C, Pressure = 842.15 hPa, Approx. Altitude = 1533.18 m, Humidity = 19.26 %
2023-3-21 13:17:48, Temperature = 21.80 C, Pressure = 842.09 hPa, Approx. Altitude = 1533.76 m, Humidity = 19.25 %
2023-3-21 13:18:18, Temperature = 21.80 C, Pressure = 842.10 hPa, Approx. Altitude = 1533.35 m, Humidity = 19.26 %
2023-3-21 13:18:48, Temperature = 21.80 C, Pressure = 842.15 hPa, Approx. Altitude = 1533.23 m, Humidity = 19.31 %
2023-3-21 13:19:18, Temperature = 21.81 C, Pressure = 842.16 hPa, Approx. Altitude = 1533.11 m, Humidity = 19.28 %
2023-3-21 13:19:48, Temperature = 21.82 C, Pressure = 842.14 hPa, Approx. Altitude = 1533.28 m, Humidity = 19.26 %
2023-3-21 13:20:18, Temperature = 21.82 C, Pressure = 842.13 hPa, Approx. Altitude = 1533.35 m, Humidity = 19.21 %
2023-3-21 13:20:49, Temperature = 21.84 C, Pressure = 842.14 hPa, Approx. Altitude = 1533.23 m, Humidity = 19.24 %
2023-3-21 13:21:19, Temperature = 21.85 C, Pressure = 842.12 hPa, Approx. Altitude = 1533.43 m, Humidity = 19.19 %
2023-3-21 13:21:49, Temperature = 21.86 C, Pressure = 842.12 hPa, Approx. Altitude = 1533.45 m, Humidity = 19.19 %
2023-3-21 13:22:19, Temperature = 21.88 C, Pressure = 842.12 hPa, Approx. Altitude = 1533.51 m, Humidity = 19.18 %
2023-3-21 13:22:49, Temperature = 21.87 C, Pressure = 842.15 hPa, Approx. Altitude = 1533.21 m, Humidity = 19.17 %
2023-3-21 13:23:19, Temperature = 21.87 C, Pressure = 842.12 hPa, Approx. Altitude = 1533.49 m, Humidity = 19.18 %
2023-3-21 13:23:49, Temperature = 21.86 C, Pressure = 842.12 hPa, Approx. Altitude = 1533.47 m, Humidity = 19.18 %
2023-3-21 13:24:19, Temperature = 21.87 C, Pressure = 842.12 hPa, Approx. Altitude = 1533.43 m, Humidity = 19.17 %
2023-3-21 13:24:49, Temperature = 21.91 C, Pressure = 842.12 hPa, Approx. Altitude = 1533.44 m, Humidity = 19.16 %
2023-3-21 13:25:20, Temperature = 21.91 C, Pressure = 842.04 hPa, Approx. Altitude = 1534.24 m, Humidity = 19.15 %
2023-3-21 13:25:50, Temperature = 21.93 C, Pressure = 842.11 hPa, Approx. Altitude = 1533.54 m, Humidity = 19.17 %
2023-3-21 13:26:20, Temperature = 21.93 C, Pressure = 842.11 hPa, Approx. Altitude = 1533.55 m, Humidity = 19.11 %
2023-3-21 13:26:50, Temperature = 21.93 C, Pressure = 842.15 hPa, Approx. Altitude = 1533.22 m, Humidity = 19.13 %
2023-3-21 13:27:20, Temperature = 21.94 C, Pressure = 842.14 hPa, Approx. Altitude = 1533.30 m, Humidity = 19.11 %
2023-3-21 13:27:50, Temperature = 21.94 C, Pressure = 842.12 hPa, Approx. Altitude = 1533.52 m, Humidity = 19.13 %
2023-3-21 13:28:20, Temperature = 21.96 C, Pressure = 842.11 hPa, Approx. Altitude = 1533.55 m, Humidity = 19.14 %
2023-3-21 13:28:50, Temperature = 21.98 C, Pressure = 842.11 hPa, Approx. Altitude = 1533.59 m, Humidity = 19.10 %
2023-3-21 13:29:20, Temperature = 21.99 C, Pressure = 842.14 hPa, Approx. Altitude = 1533.31 m, Humidity = 19.06 %
2023-3-21 13:29:51, Temperature = 21.98 C, Pressure = 842.13 hPa, Approx. Altitude = 1533.40 m, Humidity = 19.08 %
